file name,lifelines,messages,nesting_depth,cyclomatic_complexity,cohesion,coupling,completeness,clarity
001_Library_Management_System_106.txt,4,12,0,14,Medium/Low,High,Incomplete (missing responses),Medium/Low
002_Library_Management_System_113.txt,4,12,0,14,Medium/Low,High,Incomplete (missing responses),Medium/Low
003_Library_Management_System_115.txt,4,11,0,14,Medium/Low,High,Incomplete (missing responses),Medium/Low
004_Library_Management_System_119.txt,3,17,0,19,Medium/Low,Medium/Low,Incomplete (missing responses),Medium/Low
005_Library_Management_System_165.txt,5,8,0,10,Medium/Low,High,Incomplete (missing responses),Medium/Low
006_Library_Management_System_172.txt,0,16,0,19,Medium/Low,Medium/Low,Incomplete (missing responses),Medium/Low
007_Library_Management_System_181.txt,2,7,0,9,Medium/Low,Medium/Low,Incomplete (missing responses),Medium/Low
008_Library_Management_System_220.txt,4,6,0,8,Medium/Low,High,Incomplete (missing responses),Medium/Low
009_Library_Management_System_229.txt,2,6,0,8,Medium/Low,Medium/Low,Incomplete (missing responses),Medium/Low
010_Library_Management_System_289.txt,2,7,0,9,Medium/Low,Medium/Low,Incomplete (missing responses),Medium/Low
011_Library_Management_System_291.txt,2,6,0,8,Medium/Low,Medium/Low,Incomplete (missing responses),Medium/Low
012_Library_Management_System_298.txt,4,8,0,11,Medium/Low,Medium/Low,Incomplete (missing responses),Medium/Low
013_Library_Management_System_308.txt,4,9,0,11,Medium/Low,Medium/Low,Incomplete (missing responses),Medium/Low
014_Library_Management_System_312.txt,6,15,0,18,Medium/Low,High,Incomplete (missing responses),Medium/Low
015_Library_Management_System_318.txt,6,18,0,21,Medium/Low,High,Incomplete (missing responses),Medium/Low
016_Library_Management_System_333.txt,4,16,0,18,Medium/Low,Medium/Low,Incomplete (missing responses),Medium/Low
017_Library_Management_System_357.txt,2,12,0,14,Medium/Low,Medium/Low,Incomplete (missing responses),Medium/Low
018_Library_Management_System_85.txt,5,14,0,16,Medium/Low,High,Incomplete (missing responses),Medium/Low
019_Library_Management_System_94.txt,3,8,0,10,Medium/Low,Medium/Low,Incomplete (missing responses),Medium/Low
020_Restaurant_Management_System_136.txt,2,11,0,14,Medium/Low,Medium/Low,Incomplete (missing responses),Medium/Low
021_Restaurant_Management_System_161.txt,4,8,0,10,Medium/Low,High,Incomplete (missing responses),Medium/Low
022_Restaurant_Management_System_178.txt,4,6,0,8,Medium/Low,High,Incomplete (missing responses),Medium/Low
023_Restaurant_Management_System_189.txt,5,8,0,10,Medium/Low,High,Incomplete (missing responses),Medium/Low
024_Restaurant_Management_System_199.txt,3,5,0,7,High,High,Incomplete (missing responses),Medium/Low
025_Restaurant_Management_System_201.txt,2,8,0,10,Medium/Low,Medium/Low,Incomplete (missing responses),Medium/Low
026_Restaurant_Management_System_222.txt,3,8,0,10,Medium/Low,Medium/Low,Incomplete (missing responses),Medium/Low
027_Restaurant_Management_System_227.txt,3,6,0,8,Medium/Low,High,Incomplete (missing responses),Medium/Low
028_Restaurant_Management_System_282.txt,4,12,0,14,Medium/Low,High,Incomplete (missing responses),Medium/Low
029_Restaurant_Management_System_287.txt,2,6,0,8,Medium/Low,Medium/Low,Incomplete (missing responses),Medium/Low
030_Restaurant_Management_System_290.txt,4,6,0,8,Medium/Low,High,Incomplete (missing responses),Medium/Low
031_Restaurant_Management_System_300.txt,3,9,0,12,Medium/Low,Medium/Low,Incomplete (missing responses),Medium/Low
032_Restaurant_Management_System_304.txt,2,6,0,8,Medium/Low,Medium/Low,Incomplete (missing responses),Medium/Low
033_Restaurant_Management_System_31.txt,0,0,0,2,High,High,High,Medium/Low
034_Restaurant_Management_System_317.txt,2,7,0,10,Medium/Low,Medium/Low,Incomplete (missing responses),Medium/Low
035_Restaurant_Management_System_319.txt,4,6,0,8,Medium/Low,High,Incomplete (missing responses),Medium/Low
036_Restaurant_Management_System_323.txt,4,8,0,11,Medium/Low,High,Incomplete (missing responses),Medium/Low
037_Restaurant_Management_System_339.txt,2,11,0,14,Medium/Low,Medium/Low,Incomplete (missing responses),Medium/Low
038_Restaurant_Management_System_340.txt,2,10,0,12,Medium/Low,Medium/Low,Incomplete (missing responses),Medium/Low
039_Restaurant_Management_System_73.txt,2,6,0,8,Medium/Low,Medium/Low,Incomplete (missing responses),Medium/Low
040_alfred_106.txt,1,6,1,10,Medium/Low,Medium/Low,Incomplete (missing responses),Medium/Low
041_alfred_107.txt,1,18,1,22,Medium/Low,Medium/Low,Incomplete (missing responses),Medium/Low
042_alfred_113.txt,5,25,0,27,Medium/Low,Medium/Low,Incomplete (missing responses),Medium/Low
043_alfred_39.txt,4,11,0,13,Medium/Low,Medium/Low,Incomplete (missing responses),Medium/Low
044_alfred_58.txt,5,9,0,12,Medium/Low,High,Incomplete (missing responses),Medium/Low
045_alfred_72.txt,4,8,0,10,Medium/Low,Medium/Low,Incomplete (missing responses),Medium/Low
046_alfred_89.txt,3,10,0,12,Medium/Low,Medium/Low,Incomplete (missing responses),Medium/Low
047_archivesspace_47.txt,3,23,0,25,Medium/Low,Medium/Low,Incomplete (missing responses),Medium/Low
048_badcamp_42.txt,3,10,0,13,Medium/Low,Medium/Low,Incomplete (missing responses),Medium/Low
049_badcamp_6.txt,4,10,0,13,Medium/Low,High,Incomplete (missing responses),Medium/Low
050_badcamp_65.txt,3,4,0,6,High,High,Incomplete (missing responses),Medium/Low
051_cask_20.txt,1,9,0,11,Medium/Low,Medium/Low,Incomplete (missing responses),Medium/Low
052_cask_32.txt,4,16,0,18,Medium/Low,High,Incomplete (missing responses),Medium/Low
053_cask_33.txt,6,12,0,14,Medium/Low,High,Incomplete (missing responses),Medium/Low
054_cask_42.txt,4,11,0,14,Medium/Low,Medium/Low,Incomplete (missing responses),Medium/Low
055_cask_9.txt,4,8,0,11,Medium/Low,High,Incomplete (missing responses),Medium/Low
056_culrepo_19.txt,5,11,0,13,Medium/Low,Medium/Low,Incomplete (missing responses),Medium/Low
057_culrepo_22.txt,2,12,0,14,Medium/Low,Medium/Low,Incomplete (missing responses),Medium/Low
058_culrepo_3.txt,4,23,0,26,Medium/Low,Medium/Low,Incomplete (missing responses),Medium/Low
059_culrepo_70.txt,4,12,0,14,Medium/Low,High,Incomplete (missing responses),Medium/Low
060_culrepo_91.txt,4,11,0,13,Medium/Low,Medium/Low,Incomplete (missing responses),Medium/Low
061_datahub_53.txt,3,15,0,17,Medium/Low,Medium/Low,Incomplete (missing responses),Medium/Low
062_datahub_57.txt,3,9,0,11,Medium/Low,Medium/Low,Incomplete (missing responses),Medium/Low
063_duraspace_27.txt,4,6,0,8,Medium/Low,High,Incomplete (missing responses),Medium/Low
064_duraspace_64.txt,4,14,0,17,Medium/Low,Medium/Low,Incomplete (missing responses),Medium/Low
065_duraspace_68.txt,5,7,0,10,Medium/Low,High,Incomplete (missing responses),Medium/Low
066_duraspace_72.txt,4,15,0,17,Medium/Low,High,Incomplete (missing responses),Medium/Low
067_federalspending_15.txt,6,11,0,14,Medium/Low,High,Incomplete (missing responses),Medium/Low
068_federalspending_68.txt,5,10,0,13,Medium/Low,High,Incomplete (missing responses),Medium/Low
069_federalspending_74.txt,7,16,0,19,Medium/Low,Medium/Low,Incomplete (missing responses),Medium/Low
070_frictionless_18.txt,2,12,0,14,Medium/Low,Medium/Low,Incomplete (missing responses),Medium/Low
071_frictionless_2.txt,4,18,0,21,Medium/Low,Medium/Low,Incomplete (missing responses),Medium/Low
072_frictionless_32.txt,3,8,0,10,Medium/Low,High,Incomplete (missing responses),Medium/Low
073_mis_11.txt,3,8,0,10,Medium/Low,Medium/Low,Incomplete (missing responses),Medium/Low
074_mis_27.txt,3,24,0,26,Medium/Low,High,Incomplete (missing responses),Medium/Low
075_mis_30.txt,3,7,0,9,Medium/Low,High,Incomplete (missing responses),Medium/Low
076_mis_53.txt,5,15,0,17,Medium/Low,High,Incomplete (missing responses),Medium/Low
077_mis_65.txt,4,11,0,13,Medium/Low,High,Incomplete (missing responses),Medium/Low
078_neurohub_101.txt,5,25,0,27,Medium/Low,High,Incomplete (missing responses),Medium/Low
079_neurohub_20.txt,4,12,0,14,Medium/Low,Medium/Low,Incomplete (missing responses),Medium/Low
